group,team,confed,elo,form,host
A,Mexico,CONCACAF,1912,0,1
A,South Africa,CAF,1575,0,0
A,South Korea,AFC,1723,0,0
A,Czechia,UEFA,1680,0,0
B,Canada,CONCACAF,1748,0,1
B,Bosnia and Herzegovina,UEFA,1622,0,0
B,Qatar,AFC,1411,0,0
B,Switzerland,UEFA,1914,0,0
C,Brazil,CONMEBOL,2009,0,0
C,Morocco,CAF,1877,0,0
C,Haiti,CONCACAF,1517,0,0
C,Scotland,UEFA,1745,0,0
D,United States,CONCACAF,1820,0,1
D,Paraguay,CONMEBOL,1816,0,0
D,Australia,AFC,1799,0,0
D,Turkey,UEFA,1813,0,0
E,Germany,UEFA,1954,0,0
E,Curacao,CONCACAF,1453,0,0
E,Ivory Coast,CAF,1728,0,0
E,Ecuador,CONMEBOL,1864,0,0
F,Netherlands,UEFA,1972,0,0
F,Japan,AFC,1925,0,0
F,Sweden,UEFA,1727,0,0
F,Tunisia,CAF,1570,0,0
G,Belgium,UEFA,1869,0,0
G,Egypt,CAF,1740,0,0
G,Iran,AFC,1766,0,0
G,New Zealand,OFC,1549,0,0
H,Spain,UEFA,2134,0,0
H,Cape Verde,CAF,1625,0,0
H,Saudi Arabia,AFC,1593,0,0
H,Uruguay,CONMEBOL,1851,0,0
I,France,UEFA,2090,0,0
I,Senegal,CAF,1817,0,0
I,Iraq,AFC,1586,0,0
I,Norway,UEFA,1951,0,0
J,Argentina,CONMEBOL,2144,0,0
J,Algeria,CAF,1780,0,0
J,Austria,UEFA,1841,0,0
J,Jordan,AFC,1632,0,0
K,Portugal,UEFA,1988,0,0
K,DR Congo,CAF,1666,0,0
K,Uzbekistan,AFC,1677,0,0
K,Colombia,CONMEBOL,2006,0,0
L,England,UEFA,2028,0,0
L,Croatia,UEFA,1896,0,0
L,Ghana,CAF,1584,0,0
L,Panama,CONCACAF,1668,0,0
